ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
VNG6229G	cosine	24.0	12.0	4.0	1.1773854496315788	0.3826716782929762	24.0	3.0	2.080138053	0.320229489	1.759908564	6.495772951749999	1.5129370558700002	0.3821729940800096	0.011116533677796376	0.16674800516694566	0.14885114885114886	0.1299079959758265	0.5665675204250552
VNG6230G	cosine	24.0	0.0	4.0	1.0277164754736845	0.3733729738779895	24.0	15.0	1.876108295	0.568022094	1.3080862009999998	3.3028790866000004	1.7409277466799997	0.26953840641866034	0.05342416660172124	0.8013624990258186	0.45554445554445555	0.45181236335512126	0.7658337970541725
VNG6232G	cosine	24.0	20.0	4.0	1.1608037670526317	0.563120558856824	39.0	3.0	2.910328104	0.421669171	2.488658933	6.90192289158	1.93181073378	0.1823560961535235	0.1376471601026617	2.0647074015399256	0.7912087912087912	0.7912087912087912	0.9249396487584505
VNG6233G	cosine	24.0	12.0	4.0	1.6122245939473685	0.6577530580098299	24.0	3.0	3.523569407	0.4724272	3.051142207	7.45843890233	1.5895484983300001	0.2746868394950069	0.050158065187399216	0.7523709778109883	0.4435564435564436	0.43188963019957094	0.7560431163231001
VNG6235G	cosine	24.0	12.0	4.0	1.3150071283157896	0.5882167470041206	39.0	3.0	2.975420259	0.331932405	2.643487854	8.96393426547	1.74226675183	0.1910864970400048	0.12648168530466053	1.897225279569908	0.7682317682317682	0.7648739487615709	0.9141919706313596
VNG6236G	cosine	24.0	16.0	4.0	1.240122323263158	0.51256256692181	39.0	3.0	2.43832197	0.5045607910000001	1.933761179	4.83256331743	1.780417745	0.31177009987537885	0.03107845525103895	0.4661768287655842	0.31868131868131866	0.3011755696627159	0.6923576314085423
VNG6237G	cosine	24.0	20.0	0.0	1.206406728526316	0.5494264936022626	39.0	3.0	2.586473415	0.352395377	2.2340780380000003	7.339691675349999	1.6223529051899999	0.2321798785699553	0.08241277440731598	1.2361916161097397	0.6073926073926074	0.6032217587687496	0.8461322156896547
VNG6239G	cosine	24.0	8.0	4.0	1.4346593595789472	0.521201649830122	39.0	0.0	2.43832197	0.5240838529999999	1.9142381169999998	4.6525416802	1.5333076536399999	0.1257845896620415	0.2258720882217695	3.388081323326543	0.938061938061938	0.938061938061938	0.9708273615130019
VNG6240G	cosine	24.0	20.0	0.0	1.7227930667894735	0.7310497194898126	42.0	3.0	3.423092758	0.453052478	2.97004028	7.555620870039999	1.76265305031	0.4107797851622287	0.006995323587394649	0.10492985381091974	0.09290709290709291	0.08767531757879668	0.5070379811785832
VNG6241G	cosine	24.0	16.0	4.0	8.726133970526316	10.768568000564336	42.0	3.0	43.83214332	0.535665959	43.296477361	81.82738250130001	16.6674167021	0.20588591501204265	0.109026999583615	1.635404993754225	0.6983016983016983	0.6983016983016983	0.8857949661332325
VNG6242G	cosine	24.0	16.0	0.0	1.4215751027368417	0.4851607959528304	39.0	0.0	2.548612314	0.62518787	1.9234244440000001	4.076554322780001	1.59103499628	0.3512464829648042	0.01780541106217061	0.26708116593255915	0.2137862137862138	0.19242485133208198	0.6104828514813928
VNG6244G	cosine	24.0	12.0	8.0	1.5926439995789472	0.5137342907234218	24.0	3.0	3.2477857039999996	0.5894716560000001	2.6583140480000003	5.5096554192900005	1.4364782243399998	0.3022817708791715	0.035271314747732034	0.5290697212159805	0.35364635364635366	0.33219856060429453	0.7105851563728225
VNG6246G	cosine	24.0	16.0	0.0	1.1500487056842104	0.5552813612643577	33.0	0.0	2.367657882	0.279122264	2.0885356180000003	8.4825117426	1.8101113764099996	0.3036198412068647	0.03465332318705058	0.5197998478057587	0.34465534465534464	0.32771458436054657	0.7066621765186988
VNG6247G	cosine	24.0	4.0	8.0	0.7686746117368422	0.16267210323722595	42.0	12.0	1.157677054	0.46261924	0.6950578140000001	2.50244035246	1.2864567076200002	0.19766149804035094	0.1185004415886633	1.7775066238299495	0.7382617382617382	0.7382617382617382	0.9045265610002232
VNG6250G	cosine	24.0	8.0	16.0	1.3020927409999998	0.4675581627846911	9.0	3.0	2.147866246	0.392459812	1.755406434	5.47283105257	1.7552772767299998	0.1672006849100042	0.15858665511718525	2.3787998267577786	0.8371628371628371	0.8371628371628371	0.9351961906706433
VNG6251H	cosine	24.0	12.0	0.0	2.9145804512105267	1.3203348938684256	33.0	0.0	5.97503573	0.835351854	5.139683876	7.15271738656	1.5381580252899998	0.3869664642832589	0.010305386047146693	0.15458079070720038	0.13286713286713286	0.12185947517003905	0.5439453669947877
VNG6254C	cosine	24.0	0.0	20.0	0.9539247326842106	0.2857122728423589	48.0	3.0	1.4999959809999999	0.253592952	1.246403029	5.91497503842	1.3351508966399999	0.16073991593304598	0.16811730092093874	2.521759513814081	0.8541458541458542	0.8541458541458542	0.9351961906706433
VNG6255C	cosine	24.0	4.0	12.0	1.633125780631579	0.4938817910302552	48.0	0.0	2.566914656	0.760026082	1.806888574	3.37740337706	1.59725786766	0.3344013698200084	0.022719532036289385	0.3407929805443408	0.2517482517482518	0.2347554949537131	0.6461160411570085
VNG6256G	cosine	24.0	4.0	0.0	0.9822179374736842	0.3119421423220949	3.0	9.0	1.516895314	0.432669546	1.084225768	3.5058980416400005	1.74380995523	0.1856820133106327	0.13331674229176693	1.9997511343765042	0.7772227772227772	0.7772227772227772	0.9184316422130308
VNG6258C	cosine	24.0	8.0	4.0	1.3401223211578943	0.5234123079367023	24.0	3.0	2.13742383	0.259734356	1.877689474	8.22926879184	1.89637065694	0.3294358300672515	0.02436991267843977	0.3655486901765966	0.25874125874125875	0.2483931382214649	0.6591392283122688
VNG6260G	cosine	24.0	20.0	16.0	1.2349913111052633	0.2823835632843823	48.0	3.0	1.8076088019999998	0.68867189	1.1189369120000001	2.62477506088	1.35845238692	0.33238079923802244	0.023379372290055697	0.35069058435083544	0.25274725274725274	0.24024096319759955	0.6500319184602469
VNG6261G	cosine	24.0	12.0	8.0	1.2412173078421052	0.4837811906571007	36.0	48.0	2.43523192	0.6650702479999999	1.770161672	3.6616160884099997	1.6984209228100002	0.16927779169233606	0.15559937395129592	2.333990609269439	0.8331668331668332	0.8331668331668332	0.9351961906706433
VNG6262G	cosine	24.0	8.0	4.0	0.1420857407368421	0.17637661860301942	42.0	21.0	0.829695257	0.037839723	0.7918555340000001	21.926567935	2.79888509695	0.2934973758780968	0.039556362636785435	0.5933454395517815	0.3756243756243756	0.36248932299793696	0.7243538695581834
VNG6264G	cosine	24.0	12.0	4.0	0.08652265847368422	0.12764410623278824	42.0	6.0	0.6166402129999999	0.028326621	0.588313592	21.768929411	1.9164961404599998	0.2149723091700054	0.09920777438806212	1.4881166158209316	0.6713286713286714	0.6713286713286714	0.8786002271344292
VNG6265G	cosine	24.0	8.0	4.0	0.06508616263157893	0.10171769341104282	42.0	27.0	0.463880122	0.014360706	0.449519416	32.302041556999995	4.246559063209999	0.2216204674997874	0.09244441848195524	1.3866662772293283	0.6403596403596403	0.6403596403596403	0.8663941848797083
VNG6266H	cosine	24.0	20.0	16.0	1.8369542604736842	1.1254877702125998	24.0	3.0	5.296148502	0.29983527	4.996313231999999	17.6635273829	1.79522009623	0.20180262810879931	0.11366008771452467	1.7049013157178703	0.7192807192807192	0.7192807192807192	0.8921311246892641
VNG6268C	cosine	24.0	0.0	20.0	4.071678528210525	2.032552215471123	0.0	42.0	6.679904146	0.7045298040000001	5.975374342	9.48136488772	3.0394952228099994	0.19645989725150068	0.11993181206481425	1.7989771809722137	0.7462537462537463	0.7451037546239339	0.9045265610002232
VNG6269C	cosine	24.0	20.0	16.0	4.161066656421052	2.41853173089748	12.0	39.0	10.37722628	0.600742121	9.776484158999999	17.2740114556	1.98260799276	0.24928559942851686	0.06793360511202318	1.0190040766803476	0.5354645354645354	0.5329421917653522	0.8183373386032279
