"","data...1.","pval","bhq","rainresult.phase"
"1539","VNG2031G",0.412723870622828,0.996551724137931,3
"1540","VNG2032G",0.962050163576881,0.996551724137931,3
"1541","VNG2034H",0.985388956066102,0.996551724137931,18
"1542","VNG2035H",0.0299274486094317,0.341024969491639,15
"1543","VNG2036G",0.969045709703288,0.996551724137931,18
"1544","VNG2037C",0.993893035593116,0.996551724137931,15
"1545","VNG2039H",0.465116279069767,0.996551724137931,12
"1546","VNG2041H",0.378249697702539,0.996551724137931,15
"1547","VNG2042H",0.00157033805888768,0.162977761421587,3
"1548","VNG2043G",0.996551724137931,0.996551724137931,21
"1549","VNG2044H",0.969045709703288,0.996551724137931,21
"1550","VNG2045G",0.983118865866958,0.996551724137931,3
"1551","VNG2047G",0.938807509799876,0.996551724137931,9
"1552","VNG2048G",0.936834225830598,0.996551724137931,21
"1553","VNG2049C",0.983118865866958,0.996551724137931,3
"1554","VNG2051G",0.110687022900763,0.671109661182831,21
"1555","VNG2053G",0.675245365321701,0.996551724137931,24
"1556","VNG2054H",0.988372093023256,0.996551724137931,24
"1557","VNG2056G",0.169727428456268,0.722244376409649,21
"1558","VNG2059H",0.11701199563795,0.671109661182831,21
"1559","VNG2060G",0.465116279069767,0.996551724137931,24
"1560","VNG2062G",0.252998909487459,0.862496282343611,3
"1561","VNG2063G",0.185725741780273,0.764565660845033,3
"1562","VNG2064H",0.964885496183206,0.996551724137931,3
"1563","VNG2065G",0.00272654370489174,0.162977761421587,6
"1564","VNG2067H",0.962050163576881,0.996551724137931,3
"1565","VNG2068C",0.985388956066102,0.996551724137931,6
"1566","VNG2071G",0.980036297640653,0.996551724137931,3
"1567","VNG2072G",0.938807509799876,0.996551724137931,3
"1568","VNG2073C",0.728648842312688,0.996551724137931,3
"1569","VNG2074H",0.156150490730643,0.717933290715602,9
"1570","VNG2075C",0.337622682660851,0.982175076831565,3
"1571","VNG2076G",0.597077426390403,0.996551724137931,12
"1572","VNG2078G",0.11701199563795,0.671109661182831,6
"1573","VNG2079G",0.775896815800081,0.996551724137931,3
"1574","VNG2080C",0.240348964013086,0.862496282343611,3
"1575","VNG2081H",0.584441757355905,0.996551724137931,3
"1576","VNG2082G",0.0308343409915357,0.341024969491639,6
"1577","VNG2084G",0.246673936750273,0.862496282343611,3
"1578","VNG2085G",0.890663534938344,0.996551724137931,6
"1579","VNG2086G",0.775896815800081,0.996551724137931,21
"1580","VNG2087G",0.49058559336673,0.996551724137931,15
"1581","VNG2088G",0.983118865866958,0.996551724137931,3
"1582","VNG2089H",0.127586206896552,0.671109661182831,18
"1583","VNG2091H",0.0356379498364231,0.367086178572599,9
"1584","VNG2093G",0.985388956066102,0.996551724137931,18
"1585","VNG2094G",0.591998574356233,0.996551724137931,9
"1586","VNG2096G",0.985851445343586,0.996551724137931,3
"1587","VNG2097C",0.584441757355905,0.996551724137931,9
"1588","VNG2098H",0.938807509799876,0.996551724137931,21
"1589","VNG2099C",0.51726454386672,0.996551724137931,24
"1590","VNG2100G",0.329182115594329,0.982175076831565,12
"1591","VNG2101H",0.996551724137931,0.996551724137931,21
"1592","VNG2102G",0.988372093023256,0.996551724137931,15
"1593","VNG2104G",0.465116279069767,0.996551724137931,24
"1594","VNG2105H",0.962050163576881,0.996551724137931,3
"1595","VNG2106G",0.0716830243547801,0.570012321375462,3
"1596","VNG2108G",0.505997818974918,0.996551724137931,3
"1597","VNG2109H",0.985388956066102,0.996551724137931,3
