"","pVal","phase","peak.shape","period"
"235",0.482348010783969,4,8,24
"236",0.718925654169193,4,8,24
"237",0.778510994593313,12,8,24
"238",0.706227685465015,12,20,24
"239",0.0377312970312279,4,8,24
"240",0.710383533207761,12,20,24
"241",0.877525290871389,12,16,24
"242",0.732647750736019,24,8,24
"243",0.0553426945690171,20,16,24
"244",0.695816802934094,24,8,24
"245",0.808981697518438,16,16,24
"246",0.731191221709751,24,20,24
"247",0.152300284510123,20,16,24
"248",0.715772658118161,12,12,24
"249",0.812918756783859,24,8,24
"250",0.390089771239004,24,12,24
"251",0.444594798493952,4,8,24
"252",0.189002331203076,20,4,24
"253",0.827172576943156,24,12,24
"254",0.656241334033009,20,16,24
"255",0.00135102178490035,4,8,24
"256",0.671370412997218,12,12,24
"257",0.359029390363556,24,16,24
"258",0.688620612227051,12,20,24
"259",0.733636685333993,12,8,24
"260",0.765901579549694,4,12,24
"261",0.144049173543046,24,16,24
"262",0.758030563364249,4,4,24
"263",0.0127317496214363,20,12,24
"264",0.768936779516432,12,20,24
"265",0.130934258092024,16,20,24
"266",0.243426062811042,4,8,24
"267",0.415422644281256,16,8,24
"268",0.811237603912364,12,20,24
"269",0.67392775782838,24,20,24
"270",0.67392775782838,12,20,24
"271",1,16,4,24
"272",0.65982789134987,12,20,24
"273",0.113911665728379,24,20,24
"274",0.84843813309755,20,20,24
"275",0.639345179886985,4,12,24
"276",0.000124078559030432,4,8,24
"277",0.0212910621627427,4,8,24
"278",0.841834092304329,12,16,24
"279",1,24,20,24
"280",0.636327712366153,24,20,24
"281",0.000273165781494871,4,8,24
"282",0.630337260094613,24,8,24
"283",1,16,4,24
"284",0.0701363596616159,20,16,24
"285",0.761938106169499,12,4,24
"286",0.119317813859422,24,20,24
"287",0.0123740434066758,4,8,24
"288",0.720625367188985,4,16,24
"289",0.736451316506351,12,12,24
"290",0.476333126876071,12,12,24
"291",0.822640555193018,12,20,24
"292",0.773410580362972,24,8,24
"293",0.775424113830126,12,20,24
"294",0.832903701929354,12,20,24
"295",0.767510465446192,24,8,24
"296",0.389263583995171,4,12,24
"297",0.394750162410359,24,12,24
"298",0.0691818419965577,4,4,24
"299",0.823860835196177,24,20,24
"300",0.865012216214793,4,16,24
"301",0.225385201160314,4,8,24
"302",0.778510994593313,12,8,24
"303",0.736791873097217,16,12,24
"304",0.828812481275647,12,8,24
"305",0.835914348746513,24,8,24
"306",0.830583770275075,24,8,24
"307",0.165290990935645,4,8,24
"308",0.255103555608703,24,20,24
"309",0.177065940883712,4,8,24
"310",0.771194886946839,24,12,24
"311",0.690484137218093,24,8,24
"312",0.011244194018284,4,8,24
"313",0.725991387224526,24,8,24
"314",0.706227685465015,24,8,24
"315",0.266546404474085,20,16,24
"316",0.717624935122536,24,12,24
"317",0.654045546098157,24,4,24
"318",0.20985005414745,4,8,24
"319",0.859187033297002,24,12,24
"320",0.714125079346571,12,20,24
"321",0.869727179447945,24,20,24
"322",0.741591428552209,12,20,24
"323",0.714125079346571,12,8,24
"324",0.794173639284033,12,12,24
"325",0.671370412997218,12,20,24
"326",0.772098607702484,12,20,24
"327",0.100640663611147,12,12,24
"328",0.866134150765491,16,12,24
"329",0.847518142712612,16,16,24
"330",0.073723603596705,24,12,24
"331",0.0305179085301822,4,8,24
"332",0.871317655176646,12,8,24
"333",0.650252366389961,16,4,24
"334",0.778510994593313,24,8,24
"335",0.102899900705045,4,8,24
"336",0.729750399204763,4,8,24
"337",0.713476513242704,24,8,24
"338",0.745037024276817,12,20,24
"339",0.905891134379924,8,16,24
"340",0.693655160533588,20,16,24
"341",0.818025894992184,12,8,24
"342",0.745260071282131,24,20,24
"343",0.743967501455308,12,8,24
"344",0.715772658118161,12,8,24
"345",0.0399313965399595,20,16,24
"346",0.00298725853694763,24,16,24
"347",0.245339564542454,24,12,24
"348",0.639345179886985,24,12,24
"349",0.898281916838438,24,12,24
"350",1,24,16,24
"351",0.650688869627402,16,20,24
"352",0.00796873580276564,4,8,24
"353",0.423547700516905,4,4,24
"354",0.933137521478604,12,8,24
"355",0.916622758133665,20,12,24
