"","data...1.","fdr.out.pval","fdr"
"1961","VNG2567C",0.770133906566307,0.964327212023462
"1962","VNG2569H",0.0655681286986336,0.355680366055701
"1963","VNG2570G",0.387695520668909,0.78148078255716
"1964","VNG2573G",0.348947453186183,0.751771891963052
"1965","VNG2574G",0.00203227245004681,0.0621936699433436
"1966","VNG2575G",0.00889262580545301,0.13462321774332
"1967","VNG2576H",0.11726302201785,0.460607615127398
"1968","VNG2577C",0.633402258662607,0.910219692568449
"1969","VNG2579G",0.0843267909752533,0.396112713606134
"1970","VNG2580C",0.181722796864923,0.571320340200969
"1971","VNG2581H",0.116428469984149,0.460132896545451
"1972","VNG2582H",0.00797428456931871,0.129189938117136
"1973","VNG2584C",0.607394374904073,0.905241877593952
"1974","VNG2585H",0.0691683500610998,0.364552971693539
"1975","VNG2586C",0.467769310918979,0.836682375381169
"1976","VNG2587C",0.0420200018291668,0.295615479133212
"1977","VNG2589C",0.00408570163555653,0.088339494822844
"1978","VNG2591C",0.241639040335664,0.646347990518552
"1979","VNG2593H",0.361199153061215,0.759945855317917
"1980","VNG2594C",0.584526545410161,0.897571613019043
"1981","VNG2595G",0.509210051099331,0.862676647997095
"1982","VNG2596G",0.00908905125695013,0.13462321774332
"1983","VNG2597C",0.159069617006284,0.535851645513634
"1984","VNG2598G",0.0520608925276724,0.323694668565839
"1985","VNG2599H",0.170288058595387,0.553782304375241
"1986","VNG2600G",0.00251191761604277,0.0701000264942167
"1987","VNG2602G",0.504509920628777,0.861012001612634
"1988","VNG2603H",0.822427419315862,0.974806683334952
"1989","VNG2604G",0.066543563365886,0.357280877132274
"1990","VNG2606G",0.178126206927972,0.565800150301413
"1991","VNG2607C",0.689801346131153,0.941695800576429
"1992","VNG2608C",0.172009123887235,0.556363743031488
"1993","VNG2610C",0.0042467927766136,0.089406163718181
"1994","VNG2611G",0.216290413319046,0.61870916801634
"1995","VNG2612G",0.22992875526334,0.635060209984936
"1996","VNG2613H",0.390917870139163,0.78148078255716
"1997","VNG2614H",0.0912409179615294,0.411281389134129
