ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	AVG_REPS_PERIODICITY	REPS_SCATTER	TP_0_REP_1	TP_3_REP_1	TP_6_REP_1	TP_9_REP_1	TP_12_REP_1	TP_15_REP_1	TP_18_REP_1	TP_21_REP_1	TP_24_REP_1
VNG5049H	0.5834	0.939074446680081	23.4951903720611	8.18957811631652	0.240471192010101	0.0297340149046326	0	0.447920	0.152636	0.654984	0.659249	0.310475	0.401882	0.344308	0.517383	0.243206
VNG5050H	0.9345	0.989477351916376	24.2106178281444	17.7374718331723	0.2103466855477	0.00305542730944384	0	1.247790	1.054065	0.850193	1.094188	1.132798	1.163147	0.788300	0.945221	1.016505
VNG5052G	0.0068	0.443076923076923	25.9380315194988	23.1753728790115	0.105751672504491	0.97019422729521	0	0.680470	0.584606	0.549361	0.549102	0.555428	0.557771	0.611770	0.723918	0.753277
VNG5053H	0.6112	0.944759461193073	26.3361820671215	6.77717930916307	0.172570085119998	0.0258343972315332	0	1.044619	1.126287	1.146440	1.057662	1.069666	0.992439	1.068067	0.905610	0.731254
VNG5055G	0.5641	0.925386192754614	24.4785209306401	22.9072082782563	0.129192594134953	0.0325818689321812	0	0.468270	0.470917	0.484311	0.405584	0.353958	0.573382	0.373105	0.657983	0.558213
VNG5057G	0.1867	0.736551724137931	24.9104480542965	23.956667550474	0.123941866392914	0.341008231688575	0	0.608138	0.607472	0.413417	0.536346	0.556947	0.480862	0.472393	0.622159	0.731254
VNG5059C	0.0042	0.387692307692308	24.1708815017871	23.5416502315656	0.18293733756475	0.979598313193489	0	0.958299	0.775467	0.623149	0.645618	0.596296	0.627198	0.656314	0.917618	0.878952
VNG5061C	0.3812	0.837035681610247	22.1537688989229	15.0820659007327	0.286969206624594	0.0980612047507218	0	1.646103	1.374022	1.292824	1.473653	1.628845	1.460613	1.568156	1.210030	1.007497
VNG5062C	0.6274	0.94935	25.1166856136967	3.54879246036777	0.254499233683605	0.0240053969643729	0	1.646103	1.259283	1.197966	1.435664	1.167341	1.353843	1.046833	1.099819	1.383982
VNG5063H	0.9915	0.996065299288405	24.0893964482982	12.5050935455008	0.406400226809039	0.000742776402413271	0	1.930613	2.239074	1.634444	1.923480	1.753475	2.164528	1.376265	2.035932	1.367653
VNG5064H	0.8156	0.978295964125561	24.0270136123108	22.9237667335829	0.314278722562504	0.00844083683731835	0	2.177246	1.682105	1.738203	2.339675	1.624403	1.821539	1.661355	1.820277	1.884307
VNG5066G	0.4995	0.906646706586826	23.5543423158555	12.5419250518442	1.41555999180955	0.0478127471915859	0	3.633942	2.628755	4.019249	3.832893	4.473727	3.545256	5.501205	3.144459	1.591101
VNG5068G	0.0666	0.631079136690647	21.1216897257513	7.38193148373767	0.228576494061583	0.746311243948913	0	0.983675	0.879219	1.274017	1.233863	1.021145	0.952187	0.792268	0.993084	1.148008
VNG5069C	0.0847	0.65903536977492	23.221438849714	15.1322673152977	0.729620904633154	0.680411428818851	0	2.182944	2.117538	2.282857	2.364245	2.480339	2.598862	3.563397	2.210638	1.535443
VNG5071C	0.4778	0.896871595330739	21.9087799850458	6.20479343351543	0.168940026964971	0.053764747765584	0	0.722629	0.524691	0.799442	0.728032	0.657892	0.548231	0.551941	0.645110	0.860884
VNG5073H	0.443	0.869337694194603	22.1091216956186	8.28920800846893	0.522453785533717	0.066420271435267	0	2.264297	2.384158	2.690048	2.967367	2.945941	2.112875	2.041050	2.924705	2.821043
VNG5074C	0.1165	0.688038740920097	23.8804764040331	4.23150099752963	0.471764244774911	0.5571699505603	0	3.114654	2.741119	3.142120	2.787080	2.361373	2.634979	2.056478	2.632186	2.821043
VNG5075C	0.48	0.896871595330739	22.9386224161979	19.9332239900789	0.0977458076553267	0.0529851466032698	0	0.316402	0.328789	0.264020	0.305903	0.352030	0.274010	0.499214	0.283198	0.298464
