"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH","0","3","6","9","12","15","18","21","24"
"VNG5022G","1","burg","1","24.7438016528926","0.0571195688549532","1.83694329136792","0.373413283111111","0.267392908194077","0.0231905442587694","0.276474563948638","0.393199860661973","0.79227492994086","0.350352848","0.274250416","0.316632907","0.340476593","0.340681348","0.418871576","0.257330157","0.444655933","0.61746777"
"VNG5023G","0","mle","1","26.4955752212389","0.067324715635082","25.4540163733049","0.412868625666667","0.386261827241243","0.181682436321657","0.20255689260164","0.231179546789687","0.75101514080037","0.494689428","0.347660213","0.30658743","0.401369444","0.405739362","0.376380948","0.322554436","0.489214208","0.571622162"
"VNG5025G","1","mle","1","27.7222222222222","0.0984710890729404","26.8031601605198","0.454007641777778","0.593355305994745","0.45780707465966","0.270911679102173","0.067242728848884","0.656026622915941","0.41849401","0.370187487","0.399129418","0.349485892","0.416971456","0.433576577","0.351291529","0.622159267","0.72477314"
"VNG5026G","0","default","1","24","0.069674275048546","3.78436481729666","0.457484583333333","0.380824133811758","0.174432178415677","0.258886763278282","0.237378871634096","0.75101514080037","0.303443434","0.450040504","0.35083824","0.43294949","0.481903418","0.433576577","0.390349325","0.536468049","0.737792213"
"VNG5027G","1","mle","1","23.0307692307692","0.0713607257995613","2.56994299949309","0.429649862666667","0.541544760763907","0.388726347685209","0.240347514804981","0.0963586752552599","0.669878350320764","0.371087918","0.32993828","0.428216019","0.364399246","0.355895956","0.439602123","0.365687293","0.548978152","0.663043777"
"VNG5028G","0","burg","1","22.6818181818182","0.0600202678831875","2.10853804727618","0.578651578111111","0.436412392234064","0.248549856312085","0.174609819971336","0.17901289072357","0.716346914937656","0.488266991","0.552873696","0.492902764","0.525255858","0.549394231","0.567476922","0.509340204","0.775752276","0.746601261"
"VNG5029G","1","burg","1","20.648275862069","0.120379938340067","18.0581149258524","0.715113045","0.262876096732058","0.0171681289760779","0.288738402470288","0.400517488187652","0.793196988481702","0.620986599","0.464392262","0.608707662","0.603233654","0.617843654","0.674330518","1.220044426","0.775752276","0.850726354"
"VNG5030G","0","burg","1","22.1777777777778","0.0460904166869427","15.4934642957523","0.422024225888889","0.160790692810632","-0.118945742919157","0.190672846225571","0.591031836455821","0.836112381998321","0.452627391","0.279075293","0.42696279","0.400322562","0.489863993","0.366133692","0.586213252","0.38089567","0.41612339"
"VNG5032G","1","mle","1","22.6818181818182","0.079511332742432","3.62807555278766","0.686870361888889","0.233294081580547","-0.0222745578926045","0.19982787444831","0.450698847097381","0.797886205490919","0.617749102","0.530210226","0.776350767","0.645618211","0.550896501","0.766155681","0.523599792","0.879163343","0.892089634"
"VNG5033G","0","burg","1","20.2297297297297","0.0487256078905861","7.90080299756785","0.582255318","0.378265520063091","0.171020693417455","0.169387788770466","0.2403338031437","0.75101514080037","0.39305016","0.496211171","0.58423614","0.544816496","0.628049829","0.629365555","0.531545306","0.716801565","0.71622164"
"VNG5034G","0","burg","1","26.0347826086957","0.0514050609268478","0.789703680032494","0.336326698222222","0.496980186095593","0.329306914794125","0.295884414264966","0.127278566880847","0.679482593871765","0.246191761","0.238536329","0.30658743","0.27772606","0.273826123","0.364872559","0.338310613","0.404156084","0.576733325"
"VNG5035G","1","mle","1","27.2181818181818","0.00987212595512576","10.6314767948199","0.412189616777778","0.0206078073338777","-0.305856256888163","0.185984716244594","0.939441871408569","0.979087733168752","0.269070021","0.431592386","0.331834979","0.339588537","0.470204456","0.448797816","0.471209145","0.426021839","0.521387372"
"VNG5037G","0","burg","1","20.0939597315436","0.0443313982055843","0.868920010412744","0.59870801","0.178241499714777","-0.0956780003802971","0.126075462076261","0.554922859328406","0.828726652269021","0.620986599","0.582570131","0.623148889","0.539154573","0.487195963","0.700416275","0.506789588","0.721538132","0.60657194"
"VNG5038H","0","default","1","24","0.00865563749576581","22.1735757311247","0.506377719666667","0.0115496614659912","-0.317933784712012","0.140712162348758","0.965749658978568","0.989666601856773","0.38896253","0.564566159","0.474475493","0.402419063","0.510345507","0.540716116","0.599607236","0.489214208","0.587093165"
"VNG5039G","0","burg","1","26.4955752212389","0.0431359759437529","23.9127535867463","0.705483543888889","0.0614048462888909","-0.251460204948145","0.176389537672414","0.826865596217342","0.932264598933544","0.881412716","0.576505901","0.740784475","0.615969875","0.762420061","0.593510769","0.833057188","0.517382787","0.828308123"
"VNG5041H","1","burg","1","21.3857142857143","0.395612105712461","17.8784237282759","1.88694174555556","0.164751724697232","-0.113664367070358","0.340133258797291","0.58270234066899","0.834053694882528","1.950901673","2.192701235","1.784664221","1.528532167","1.758269231","1.496320114","3.536663549","1.226074567","1.508348953"
"VNG5042H","1","burg","1","25.1596638655462","0.111198744386244","25.0214439632915","1.03976645288889","0.176374126058022","-0.0981678319226371","0.193465837738227","0.558714502111118","0.828769322420909","1.436925316","0.939460288","1.019614555","0.988226964","1.075523852","0.885632813","0.966035088","0.738363955","1.308115245"
